koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_slogg,ra,dec
0,0,1,1,1,1.613001111,178.52846,2.394,1.04E+02,1.25,1680,1878.1,19.3,1,q1_q17_dr25_tce,4.223,300.32898,44.151119
0.964,0,0,1,0,1.343767797,133.275862,1.9405,4.70E+03,18.66,2654,11675.38,269.8,1,q1_q17_dr25_tce,3.8,299.70078,47.291752
0,1,0,0,0,29.12436474,142.16154,3.4209,6.50E+03,15.25,356,3.81,63.4,2,q1_q17_dr25_tce,4.767,297.39066,47.255711
0,0,1,1,0,31.82814583,366.704854,2.917,4.46E+03,35.8,564,23.97,78.7,1,q1_q17_dr25_tce,4.507,284.99738,44.410198
0,0,1,1,1,3.629442796,134.70066,5.63,4.27E+02,3.28,1434,1001.35,76.4,1,q1_q17_dr25_tce,4.336,296.29196,44.33226
0.762,0,1,0,0,0.553261874,133.446605,0.8875,1.04E+03,97.36,3689,43709.08,202.2,1,q1_q17_dr25_tce,3.565,301.47577,44.319759
0,0,0,1,0,7.44042933,134.76331,2.991,5.47E+02,2.74,883,144.12,34,1,q1_q17_dr25_tce,4.54,296.30762,44.21146
1,0,1,0,0,24.66919273,132.864236,7.03515,7.38E+03,77.76,1485,1150.61,603,1,q1_q17_dr25_tce,2.936,297.00943,50.372318
0,0,1,0,0,30.6113932,374.6216,3.576,3.47E+03,19.68,317,2.38,37.5,1,q1_q17_dr25_tce,4.727,299.65094,40.973282
0,1,0,0,0,569.934135,248.94045,4.1904,1.89E+04,38.98,296,1.81,66.7,1,q1_q17_dr25_tce,3.783,291.69672,37.238041
0,0,0,1,0,5.09246539,357.53594,3.659,2.54E+02,1.17,844,119.7,17.1,1,q1_q17_dr25_tce,4.547,291.15338,36.678841
,1,0,0,0,110.6157662,145.83537,5,,,,,,,,,291.35403,36.784519
0,0,0,0,1,1.103971357,354.58216,0.926,3.18E+02,1.37,1471,1109.79,21.7,1,q1_q17_dr25_tce,4.609,289.71466,47.34222
,0,0,0,0,0.293630085,133.584241,2.3857,2.02E+03,26.35,2503,9283.34,170,,,4.554,296.33435,47.14558
0,0,0,1,1,2.44199803,134.57095,2.759,2.52E+02,1.44,1282,638.05,27.2,1,q1_q17_dr25_tce,4.564,292.85965,44.200642
0,0,0,1,1,2.6827683,134.25535,2.957,7.98E+01,1.19,1551,1366.57,26.7,1,q1_q17_dr25_tce,4.262,291.89075,44.223728
1,0,1,1,0,3.108251172,170.244566,2.5048,1.87E+03,4.43,1096,340.69,156.5,1,q1_q17_dr25_tce,4.495,294.79974,46.207569
0,0,1,1,1,20.42720701,176.71737,3.447,1.27E+03,4.42,674,48.72,36.7,1,q1_q17_dr25_tce,4.494,296.65915,46.382172
0,0,1,0,0,6.198273591,183.3731434,7.53837,4.73E+04,19.81,985,222.23,2561.1,1,q1_q17_dr25_tce,4.524,297.62027,40.943089
0,0,0,1,1,1.023471798,354.8182,2.3499,8.61E+02,3.78,1727,2103.09,63,1,q1_q17_dr25_tce,4.491,300.45575,43.934349
0,0,1,0,0,0.51872711,133.676312,1.252,7.14E+02,19.07,1965,3537.27,93.3,1,q1_q17_dr25_tce,4.597,293.38556,41.349819
0,0,1,1,1,1.096583368,133.61436,2.1188,3.09E+02,1.35,1474,1119.9,44.3,1,q1_q17_dr25_tce,4.528,297.78802,47.10107
,1,0,0,0,7.1688266,136.23827,1.29,,,,,,,,,284.38562,44.391289
0.913,0,1,0,0,34.19360031,155.2966351,5.41382,1.37E+04,21.95,778,86.74,1405.6,1,q1_q17_dr25_tce,3.991,297.36032,40.42981
0,0,0,1,0,2.866680334,134.066374,1.1264,7.12E+02,2.93,1045,282.64,43,1,q1_q17_dr25_tce,4.598,295.4722,44.077381
0,0,0,1,0,8.30697421,137.08254,2.76,1.59E+02,37.99,1246,570.93,17.4,1,q1_q17_dr25_tce,3.69,297.49332,44.051868
,1,0,0,0,2.49705175,135.3072596,3.79,,,,,,,,,296.48187,44.009151
